Alessandro,Messuti,LXSGMH88R02E764Q,adoskusku@gmail.com,Alessandro123!,2
Giacomo,Paviano,PVNGCM02B07L682W,pavianogiacomo@gmail.com,Giacomo123!,1
Tommaso,Wowowo,NHNXAA87L15I168S,prova@example.com,CiaoMondo123!,-1
Luca,Abete,VVJJCI88C42I831P,lucaabete@mail.com,Luca123!,-1
Valerio,Staffelli,YJXGHJ86L14A253Q,valerio@staffelli.com,Valerio123!,-1
Fabio,Ruvera,TLYRTM69B57C787A,fabioruvera@hotmail.com,Fabio123!,3
Tommaso,Malizia,GSBFMN61P07L484M,tommasomalizia@gmail.com,Tommaso123!,4
Umi,Mokha,YLFZMK97L70H010V,umimokha@gmail.com,Umimokha123!,5
Alessio,Celsius,VTVCHR42M13G152Y,alessiocelso@gmail.com,Alessio123!,5
Giacomo,Babbano,VTVCHR42M13G152Y,Giacomobabbano@gmail.com,Giacomo123!,-1
pavianogiacomo@gmail.com,Gmail,GKVPHN82D01C745O,jackpav@gmail.com,Jack123!,-1
